20200121:0, 0, 0, 0, 0, 0
20200121:'225.7', '0.067', '13.2', '0', '49.9', '0.87'
20200121:0, 0, 0, 0, 0, 0
20200121:0, 0, 0, 0, 0, 0
20240405:0, 0, 0, 0, 0, 0
20200121:(0, 0, 0, 0, 0, 0)
20200121:0, 0, 0, 0, 0, 0
20200121:0, 0, 0, 0, 0, 0
20200121:0, 0, 0, 0, 0, 0
20240405:0, 0, 0, 0, 0, 0
20200121:0, 0, 0, 0, 0, 0
20200121:0, 0, 0, 0, 0, 0
20240405:'228.8', '0.06800001', '13.8', '0', '50.0', '0.89'
20240405:'231.2', '0.06800001', '13.7', '0', '49.9', '0.87'
20240405:'233.3', '0.069', '14.1', '0', '50.0', '0.88'
20240406 : '233.0', '0.069', '14.0', '0', '50.0', '0.87'
20240406:0, 0, 0, 0, 0, 0
202001211033:'231.0', '0.07', '14.0', '0', '50.0', '0.87'
202001211034:'232.6', '0.069', '14.0', '0', '50.0', '0.87'
202404061706:'230.4', '0.06800001', '13.6', '0', '50.0', '0.87'202404061843:'232.8', '0.069', '13.9', '0', '49.9', '0.87'
207001012049:0, 0, 0, 0, 0, 0
202404071554:'238.0', '0.06599999', '14.5', '0', '50.0', '0.92'
202404072229:'230.2', '0.06599999', '13.8', '0', '49.9', '0.91'
202408011124:'226.0', '0.06800001', '13.3', '0', '50.0', '0.87'
202408011159:'226.7', '0.069', '13.5', '0', '49.9', '0.86'
202408011224:'228.8', '0.065', '13.6', '0', '50.0', '0.91'
202410161440:0, 0, 0, 0, 0, 0
207001010005:0, 0, 0, 0, 0, 0
207001010005:0, 0, 0, 0, 0, 0
207001010006:0, 0, 0, 0, 0, 0
207001010007:0, 0, 0, 0, 0, 0
207001010008:0, 0, 0, 0, 0, 0
207001010009:0, 0, 0, 0, 0, 0
207001010002:0, 0, 0, 0, 0, 0
207001010003:0, 0, 0, 0, 0, 0
207001010004:0, 0, 0, 0, 0, 0
207001010004:0, 0, 0, 0, 0, 0
207001010005:0, 0, 0, 0, 0, 0
207001010006:0, 0, 0, 0, 0, 0
207001010007:0, 0, 0, 0, 0, 0
207001010008:0, 0, 0, 0, 0, 0
202410161459:0, 0, 0, 0, 0, 0
202410161501:0, 0, 0, 0, 0, 0
202410161502:0, 0, 0, 0, 0, 0
202410161503:0, 0, 0, 0, 0, 0
202410161503:0, 0, 0, 0, 0, 0
202410161504:0, 0, 0, 0, 0, 0
202410161505:0, 0, 0, 0, 0, 0
202410161506:0, 0, 0, 0, 0, 0
202410161507:0, 0, 0, 0, 0, 0
202410161508:0, 0, 0, 0, 0, 0
207001010001:0, 0, 0, 0, 0, 0
207001010002:0, 0, 0, 0, 0, 0
207001010003:0, 0, 0, 0, 0, 0
207001010004:0, 0, 0, 0, 0, 0
207001010005:0, 0, 0, 0, 0, 0
207001010005:0, 0, 0, 0, 0, 0
207001010006:0, 0, 0, 0, 0, 0
